No	ExtEHR resource	ExtEHR field	ExtEHR #	ExtEHR description	ExtEHR type	Ext binding	ExtEHR source	Mapped Resource	Mapped Field	EQ				Modeling	Needs work	Actor	Section	R4Mapped Resource	R4Mapped Field	EQ				Modeling	Needs work	Actor	Section	
95	EHDSAllergyIntolerance	reaction.manifestation	0..*	Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).	CodeableConcept	1.3.6.1.4.1.12559.11.10.1.3.1.42.5 eHDSIIllnessandDisorder (ICD-10, alternative in MH@EU)	1.3.6.1.4.1.12559.11.10.1.3.1.42.11 eHDSIReactionAllergy (SCT, alternative in MH@EU)	EuAllergyIntolerance	reaction.manifestation	EQ						R	Procedure			EQ						R	Procedure	
96	EHDSAllergyIntolerance	reaction.date	0..1	Date and time of allergy manifestation	dateTime		Date and time of allergy manifestation	EuAllergyIntolerance	reaction.onset	EQ						R				EQ						R		
97	EHDSAllergyIntolerance	reaction.severity	0..1	Severity of the clinical manifestation of the allergic reaction.	CodeableConcept	1.3.6.1.4.1.12559.11.10.1.3.1.42.13 eHDSISeverity (SCT, used in MH@EU)	http://hl7.org/fhir/ValueSet/reaction-event-severity (HL7, Required in HL7 FHIR) (preferred)	EuAllergyIntolerance	reaction.severity	EQ						R	Procedure			EQ						R	Procedure	
98	EHDSAllergyIntolerance	reaction.onsetDate	0..1	Date of the observation of the reaction	dateTime		Date of the observation of the reaction																					
99	EHDSAppointment		0..*	EHDS refined base model for Appointment. This is a simplified model with minimal information - it is not intended to cover the full functionality of booking systems.			Appointment model																					
100	EHDSAppointment	identifier	0..*	Appointment identifier	Identifier		Appointment identifier																					
101	EHDSAppointment	subject	0..1	The patient associated with the appointment.	EHDSPatient		The patient associated with the appointment.																					
102	EHDSAppointment	status	1..1	The overall status of the Appointment.	CodeableConcept	HL7 Appointment status (preferred)	The overall status of the Appointment.																					
103	EHDSAppointment	class	0..*	Classification of patient encounter (e.g. inpatient, outpatient, emergency).	CodeableConcept	HL7 Encounter class (preferred)	Classification of patient encounter (e.g. inpatient, outpatient, emergency).																					
104	EHDSAppointment	serviceType	0..*	The specific service that is to be performed during this appointment.	CodeableConcept	SNOMED CT (preferred)	The specific service that is to be performed during this appointment.																					
105	EHDSAppointment	specialty	0..*	The specialty of a practitioner that would be required to perform the service requested in this appointment	CodeableConcept	SNOMED CT (preferred)	The specialty of a practitioner that would be required to perform the service requested in this appointment																					
106	EHDSAppointment	start	0..1	Date and time that the appointment is to take place.	dateTime		Date and time that the appointment is to take place.																					
107	EHDSAppointment	end	0..1	Date and time that the appointment is to conclude.	dateTime		Date and time that the appointment is to conclude.																					
108	EHDSAppointment	note	0..*	Additional notes/comments about the appointment.	string		Additional notes/comments about the appointment.																					
